Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,240 pf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.1,-59.5,-90.0,top
C2,240 pf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.0,-59.4625,-90.0,top
C3,1206 220uf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.725,-65.0,180.0,top
C4,1206 220uf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,130.8,-82.71,180.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.6225,-78.08,0.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.64,-80.59,0.0,top
D3,SS36,SS32C,103.1,-84.825,90.0,top
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,99.26,-92.26,180.0,top
D5,SS54,D_SMA,91.775,-64.3,-90.0,top
J1,Serial programmer,PinHeader_1x06_P2.54mm_Vertical,120.575,-75.725,180.0,top
J2,BRIDGE CONEX,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,137.425,-78.425,-90.0,top
J3,SOMMER CONEX BOARD,PinSocket_1x03_P2.54mm_Vertical,131.86,-56.0,270.0,bottom
J4,SOMMER CONEX KEYPAD,PinHeader_1x03_P2.54mm_Vertical,122.36,-56.0,90.0,top
J5,BRIDGE POWER,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,101.65,-57.4,-90.0,top
J6,SOMMER OUTPUT OC,PinSocket_1x04_P2.54mm_Vertical,98.51,-97.5,90.0,bottom
L1,FAUL0630-330MT,L_Abracon_ASPI-0630LR,94.125,-56.0,90.0,top
Q1,STN3NF06,STN3NF06L,94.5,-85.375,0.0,top
R1,0603 100ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.0,-60.4,-90.0,top
R2,0603 100ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.1,-60.4,-90.0,top
R3,0603 10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.0,-63.9,-90.0,top
R4,0603 10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.1,-63.9,-90.0,top
R5,0603 390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.85,-74.425,90.0,top
R6,0603 390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.9,-74.45,90.0,top
R7,0603 1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.5825,-78.07,180.0,top
R8,0603 1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.5925,-80.59,180.0,top
R9,0603 100ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.4,-59.5,90.0,top
R10,0603 100ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.3,-59.5,90.0,top
R11,0603 1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-93.1,90.0,top
R12,0603 10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.59,-83.34,0.0,top
R13,0603 10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.42,-79.25,90.0,top
S1,DEALON TD-1183SN,DEALON TD-1183SN-1.5H-160,113.5,-62.8,90.0,top
S2,DEALON TD-1183SN,DEALON TD-1183SN-1.5H-160,119.5,-62.8,90.0,top
U2,G3VM-61D1,G3VM-61D1,136.9,-66.95,0.0,top
U3,G3VM-61D1,G3VM-61D1,131.7,-66.95,0.0,top
U4,LM2596SX-3.3/NOPB ,TO-263-5_TabPin3,97.8,-74.425,180.0,top
U5,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,129.5,-91.4,180.0,top
